TERYT;county;city;street;building_num;full_name;lat;lng
20505;jaworski;Wiadrów;;39A;e2f30062b6b619125981613384fce207;0;0
20506;jaworski;Budziszów Wielki;;10;f2f4456b779c6a23d2d0692bf005639f;0;0
20506;jaworski;Wądroże Wielkie;;169;cf87937cd549145964f85f2ea19d425e;0;0
20601;jeleniogórski;Karpacz;ul. Mysliwska;15c;be700b65bb54eaebaf910e609610582a;0;0
20601;jeleniogórski;Karpacz;ul. Konstytucji 3 Maja;48a;5ed2ea1304e7817eaf3e7f8ff2b737bb;0;0
20601;jeleniogórski;Karpacz;ul. Konstytucji 3 Maja;48b;10cdd91ad77d5a1f9bad44bba85af5dd;0;0
20601;jeleniogórski;Karpacz;ul. Wilcza;1;bb2ad20ac312bc948a55d7efb3b5b53f;0;0
20601;jeleniogórski;Karpacz;ul. Kolejowa;3;d7f7daa92aee514eec85102d8a1e7760;0;0
20602;jeleniogórski;Kowary;ul. Gorna;2;1adad2935745e5dac48f5345941feda3;0;0
20602;jeleniogórski;Kowary;ul. Zamkowa;5;4e4b096d9ee23eb808f210f7627011a6;0;0
20602;jeleniogórski;Kowary;ul. 1 Maja;72;ebfd9edae0d70256df4bfdb39c306a6b;0;0
20602;jeleniogórski;Kowary;ul. Stanislawa Staszica;18;63d3d8652c9b2cb58b6da7f152081159;0;0
20602;jeleniogórski;Kowary;ul. Szkolna;2;447b353540217a17020ddf87af6aeb24;0;0
20602;jeleniogórski;Kowary;ul. Szkolna;1;581d33e8633e31db65bf237eb116c206;0;0
20603;jeleniogórski;Piechowice;ul. Krysztalowa;77;e4cb58d751d741375fd3af0cf1ea6fed;0;0
20603;jeleniogórski;Piechowice;ul. Szkolna;6;357c7f4a1644ae889ee77b6152280251;0;0
20603;jeleniogórski;Piechowice;ul. Tysiaclecia;28;0608422a6b3e062c08187f6bd77b2807;0;0
20604;jeleniogórski;Szklarska Poręba;ul. Kolejowa;22;1e0282197ae74703d736b2a9c48c6383;0;0
20604;jeleniogórski;Szklarska Poręba;ul. Gorna;21;58570cd4757f42f4a24fbf8dbad56e60;0;0
20604;jeleniogórski;Szklarska Poręba;ul. Slowackiego;13;42b9216710e300e440b9397b4d3ad8c6;0;0
20604;jeleniogórski;Szklarska Poręba;ul. Obroncow Pokoju;17;3778e0bbfb787164845b907fc52dd92d;0;0
20604;jeleniogórski;Szklarska Poręba;ul. Granitowa;2;3463e85dcd82adc27bbbb1b316ec8a2f;0;0
20604;jeleniogórski;Szklarska Poręba;ul. 1 Maja;32;a7a8ab55b47d092355f8b0dda1e3be56;0;0
20605;jeleniogórski;Komarno;;88;87a5c4f948ff90a51053f1f0029bcbb1;0;0
20605;jeleniogórski;Radomierz;;60 a;75e9ee49d536b625e4c9d5958b0407a5;0;0
20605;jeleniogórski;Trzcińsko;;71;a68d00d49ff6e0f404f2a94549072ee0;0;0
20605;jeleniogórski;Janowice Wielkie;ul. Partyzantow;4;1fd9577d38236a2a0b3ece5ea919c972;0;0
20606;jeleniogórski;Jeżów Sudecki;ul. Dluga;63;f6bf9153aba0842c8d12ca154067c01f;0;0
20606;jeleniogórski;Dziwiszów;;157;7baedf25868c30b69126be3d7f915fb0;0;0
20606;jeleniogórski;Siedlęcin;ul. Koscielna;5;6be1e4437c72d40057069b785892c8bf;0;0
20606;jeleniogórski;Czernica;;125;da0eefbc2dfdce0fb8b60d4287a909d5;0;0
20607;jeleniogórski;Mysłakowice;ul. Ignacego Daszynskiego;29;056c61cd48234c6c7d5290a98048bb4b;0;0
20607;jeleniogórski;Mysłakowice;ul. Sulkowskiego;1;e97c3180bcebfd8d4a8bcc0885512e09;0;0
20607;jeleniogórski;Łomnica;ul. Karkonoska;36;87bc26e2e164b6da76e4e8c629788620;0;0
20607;jeleniogórski;Bukowiec;ul. Robotnicza;6;f11e6ad4a1bfa0adebac1d0e09fdcc9f;0;0
20607;jeleniogórski;Karpniki;ul. Rudawska;8;49e5831e3145418736e0443b3fc77212;0;0
20607;jeleniogórski;Dąbrowica;;45;7b8a34b2c5a65b7520610c4434df22f9;0;0
20607;jeleniogórski;Wojanów;;38;fcb586149fb4041bcd9080e73172f61e;0;0
20608;jeleniogórski;Podgórzyn;ul. Zolnierska;13;d12bf79ae5e287cc00859bfd5becbd7d;0;0
20608;jeleniogórski;Przesieka;ul. Karkonoska;27;0c8ecbaf5148658a2a69b22efe4df48e;0;0
20608;jeleniogórski;Staniszów;;59;97e6ce8be83ec7fbf9524c7df93e09a4;0;0
20608;jeleniogórski;Sosnówka;ul. Szkolna;5;472c636ecfb63cd11a29419038595928;0;0
20608;jeleniogórski;Miłków;ul. Szkolna;95;fbcdad2e46c596814e3f603b03382f96;0;0
20608;jeleniogórski;Ścięgny;;110b;a56311f45dff6932e9a95211039563e6;0;0
20609;jeleniogórski;Stara Kamienica;;70;069a33fcc0b9aa90ccea7385c0b618ab;0;0
20609;jeleniogórski;Rybnica;;137;8058d7bdfce88d429237bbe6d722feed;0;0
20609;jeleniogórski;Kopaniec;;78;d59b26355e9a959eca7aa31a36a1c3f5;0;0
20609;jeleniogórski;Wojcieszyce;ul. Karkonoska;1;bed61a2a1d4d0462d9a645c58cbb6258;0;0
20701;kamiennogórski;Kamienna Góra;ul. Lubawska;8;891345085dd9b78dc96e909c40ea5d04;0;0
20701;kamiennogórski;Kamienna Góra;Plac Wolnosci;11;0afa9eec84724a39a7092387bf8bdc7d;0;0
